cuisine,id,value,name,nevalue,nvalue
American (traditional),VF9wvcgVPDVa9LBDHPrXuw,15,Stackers Restaurant,3.581372549,2.234741784
American (traditional),93hdmjYc8IXsf69VrkRHog,133,Good Fellas Grill,32.50294118,21.07042254
American (traditional),d7V3ykQHqChv0KtXEanKLw,72,Rock Bottom Restaurant & Brewery,17.55196078,11.33333333
American (traditional),0QEpZi6AelUOXfk3-lCd1A,9,Down South Restaurant,2.110784314,1.276995305
American (traditional),SRaXY_h-PnoVkNamuGzAdQ,10,Hooters,2.355882353,1.436619718
American (traditional),rLv5DPLnO67TCHIbbBWYPA,42,Native New Yorker,10.19901961,6.544600939
American (traditional),7pj0w2wN4LWhvTCPz78h1Q,5,Rennick's Restaurant,1.130392157,0.638497653
American (traditional),OL9p2tme85Sd3d8mCiSOxw,21,Fox Sports Grill,5.051960784,3.192488263
American (traditional),P8YUA2bXP-wD3VOzWqKVyw,43,Sacred Hogan Navajo Frybread,10.44411765,6.704225352
American (traditional),xdmT9sejRDEyud8YFbEcjg,51,Bill Johnsons Big Apple,12.40490196,7.981220657
American (traditional),tWVuAPWXvW2g8ce0WWepXA,30,George's Famous Gyros & Pasta,7.257843137,4.629107981
American (traditional),wmuYTDs5kVaPRdFjKGtk_w,9,Country Boys Restaurants,2.110784314,1.276995305
American (traditional),kPh2gPvd8moVx6gNf2iHsA,29,Taberna del Tequila,7.012745098,4.469483568
American (traditional),e0vubCKi8KD8zC2C6FdbuQ,34,Islands Restaurant,8.238235294,5.267605634
American (traditional),tdlSjsWl9PYEUBhDXkIvXQ,12,Marston's Cafe,2.846078431,1.755868545
American (traditional),PeC1ec6uyX3hlGIPORqs7w,11,Moon Valley Grill,2.600980392,1.596244131
American (traditional),h1kwVr1eTpBK0rWfcm5QSg,84,Buffalo Wild Wings,20.49313725,13.24882629
American (traditional),PkBkqQpAoeX3Ogo5HBthQg,22,Gallagher's,5.297058824,3.352112676
American (traditional),Rj5gyaRIIwDX_OJa1LlE4A,33,Chick Rotisserie & Wine Bar,7.993137255,5.107981221
American (traditional),To5CjntVFawXM_hpAhvVdQ,78,Wally's' American Pub N Grill,19.02254902,12.29107981
American (traditional),QhZgTuDoGMXyLu2WzrPoyw,12,Village Inn,2.846078431,1.755868545
American (traditional),8DKEWD2DaU6XlMNRN4QNlA,43,HEK Yeah BBQ,10.44411765,6.704225352
American (traditional),BT2Vls7h6sWrCKa5gGXbKg,43,Long Wong's Restaurant,10.44411765,6.704225352
American (traditional),3oZcTGb_oDHGwZFiP-7kxQ,613,Chelsea's Kitchen,150.15,97.69014085
American (traditional),619v4z_tj2NiZWuX1tPdrw,25,Black Bear Diner,6.032352941,3.830985915
American (traditional),#NAME?,3,Marie Callender's,0.640196078,0.319248826
American (traditional),po5FyERB4lUZNnBIwnhFlg,15,Sonic Drive-In,3.581372549,2.234741784
American (traditional),HmieoxfEuZT91ojxluadZg,13,Shenanigans Bar & Grill,3.091176471,1.915492958
American (traditional),uECIvsUWlDWSiJ9jAfH_kQ,51,Texas Roadhouse,12.40490196,7.981220657
American (traditional),DVYTS0ZLO-3ClAhMd99VYA,11,Chaka Chaka Urban Cuisine,2.600980392,1.596244131
American (traditional),SAS7V55TcgZSTJ21ZnXqmQ,18,12th Fairway Bar & Grill,4.316666667,2.713615023
American (traditional),Qchl3BUVrwGM7h8Qduw6Aw,8,Copper Door,1.865686275,1.117370892
American (traditional),2gMx4KnXbNtpoCuVCmyo3g,8,Coco's Restaurant,1.865686275,1.117370892
American (traditional),INMlF39JiK9buYVNUR6O7g,4,The Playa II Bar and Grill,0.885294118,0.478873239
American (traditional),55seKyxRWUmHC1s52xk45g,62,Gallagher's,15.10098039,9.737089202
American (traditional),WRjMDL79KQ0ZG5yCdfJiYA,39,Buffalo Wild Wings,9.46372549,6.0657277
American (traditional),C_YBdVpxct0NqjrCJDBlxA,13,Sizzler,3.091176471,1.915492958
American (traditional),E0fZHHInMb6xscHDrPlh4Q,15,The Art Of Soup,3.581372549,2.234741784
American (traditional),vWcUrFcweGXAWsil_pfpjw,7,Whataburger,1.620588235,0.957746479
American (traditional),ZJxs1L4oMhX9GW00ty0aAg,42,Buffalo Wild Wings,10.19901961,6.544600939
American (traditional),psZF-7maJzwhtfesiSrACA,9,Whataburger,2.110784314,1.276995305
American (traditional),faitVIiNezSN0ogZQSZPWQ,5,Lantana Grille,1.130392157,0.638497653
American (traditional),UB2j_EV3CIM_E4LcpadKMQ,162,Salty Sow,39.61078431,25.69953052
American (traditional),ET9VpUk1UgjMN5DJRV0yOw,7,Christopher's Fermier Brasserie & Paola's Wine Bar,1.620588235,0.957746479
American (traditional),dVRRT0zVk8eFNx0Wv6gMmg,5,Chili's Grill & Bar,1.130392157,0.638497653
American (traditional),QAqD40DAbYXBcw1oX3AJyw,4,Left Seat Restaurant & Lounge,0.885294118,0.478873239
American (traditional),Xk3inJcuBGLhavUcdlINZA,161,Crudo,39.36568627,25.5399061
American (traditional),nY2QBNMEfT3j68j-DHOGyg,26,Waffle House,6.27745098,3.990610329
American (traditional),1-1VcGTL3GyCqUpXZLFTZA,61,Friday's Front Row Sports Grill,14.85588235,9.577464789
American (traditional),0Apb1P7RzbQEkeJDuywlPQ,10,George & Dragon II English Restaurant Pub,2.355882353,1.436619718
American (traditional),iins67bZVJeDrjiOTZh8DQ,21,Red Lobster,5.051960784,3.192488263
American (traditional),PN3aQAH-RONnK-ahkNm0xg,77,Zipps Sports Grill,18.77745098,12.1314554
