stars,latitude,longitude,name,res_id
30,33.4566960574,-112.072327137,Matt's Big Breakfast,ntN85eu27C04nwyPa8IHtw
30,33.449233,-112.065458,Pizzeria Bianco,VVeogjZya58oiTxK7qUjAQ
26,33.5092611,-112.0718179,St Francis Restaurant,uKSX1n1RoAzGq4bV8GPHVg
26,33.45496,-112.079908,Cibo,V1nEpIRmEa1768oj_tuxeQ
24,33.5062078,-112.0739142,Hula's Modern Tiki,_FXql6eVhbM923RdCi94SA
24,33.4916953,-112.0734977,FEZ,EWMwV5V9BxNs_U6nNVMeqw
22,33.5102068,-112.0272041,True Food Kitchen,qjmCVYkwP-HDa35jwYucbQ
22,33.502191,-111.996292,Postino Arcadia,SDwYQ6eSu1htn8vHWv128g
21,33.4357027,-112.0737893,Lo-Lo's Chicken & Waffles,K8pM6qQdYu5h6buRE1-_sw
20,33.626933,-112.100731,Chino Bandido,Zx8_4zKdDBSO3qGrkukBIA
20,33.510225,-112.028138,Zinburger,cp39VURFby4A6u9m2It8jg
20,33.4914048761,-112.079134583,Gallo Blanco,-sC66z4SO3tR7nFCjfQwuQ
19,33.560853,-112.116198,Bobby Q,rZbHg4ACfN3iShdsT47WKQ
17,33.5005719,-112.0741143,Lux,aRkYtXfmEKYG-eTDf_qUsw
16,33.655566,-111.92641,The White Chocolate Grill,XWvht_1ZLdK7EHJ3jo4q0g
16,33.5112348,-111.9955879,Chelsea's Kitchen,3oZcTGb_oDHGwZFiP-7kxQ
16,33.4951414,-112.0012935,Beckett's Table,I4bSn5gXsHuSPu7L-d_8nQ
16,33.469201,-112.047393,La Santisima Gourmet Taco Shop,zp713qNhx8d9KCJJnrw1xA
15,33.4473356,-112.0734239,The Arrogant Butcher,Xq9tkiHhyN_aBFswFeGLvA
15,33.4315119,-112.0561119,Carolina's Mexican Food,d52zg-S0o940WUCK-nNiKw
14,33.530335,-112.047101,Rokerij,5kRug3bEienrpovtPRVVwg
14,33.5126276,-112.0740912,Postino Central,3n9mSKySEv3G03YjcU-YOQ
14,33.5100544,-112.0146409,Delux,OFBJtqWGSx6n6CchtVmoRw
14,33.5094461,-112.0403946,The Parlor,pwpl-rxwNRQdgqFz_-qMPg
14,33.5023126257,-111.995752167,La Grande Orange Grocery,R8VwdLyvsp9iybNqRvm94g
14,33.4948197,-111.9798208,Over Easy,Y-9dJvw-J2d9QKfuL7mKgA
14,33.4871849,-112.064702,Gadzooks Enchiladas & Soup,o1W6gwCqnJqvdCenLWz5GA
14,33.477031,-112.073616,Switch Restaurant & Wine Bar,IVc23uY-36WUNYoIbz42Fg
14,33.470887,-112.064765,America's Taco Shop,3l72FflaaeI0tWEAWN3-gQ
14,33.449228,-112.072853,Hanny's,6imLt53br7SJ3av07jjH7w
13,33.5098142,-112.0610062,Cherryblossom Noodle Cafe,AkOruz5CrCxUmXe1p_WoRg
13,33.495018,-111.975898,O.H.S.O. Eatery + nanoBrewery,wNsmt1hF1uv3YvbwXZMAoQ
13,33.472853,-112.056065,Tuck Shop,rQ4z0EStSZE4acgkne6Hmg
13,33.455863,-112.072167,Sens Asian Tapas & Sake Bar,d3MxUXS1b6U2P_gGuCO1-A
12,33.5070953369,-112.074485779,Maizie's Cafe & Bistro,AaKlegu7gmOCD4rEESF76Q
11,33.513539,-112.074195,Federal Pizza,m9haUi2_1lHR2eAKBhKwDg
11,33.509578,-112.060185,Oregano's Pizza Bistro,ML1RJdeZ7bbfMrHvJ7m99A
10,33.7134575,-112.1139493,Mellow Mushroom,VY_tvNUCCXGXQeSvJl757Q
10,33.5997996,-111.9869515,The Oink Cafe,fDZzCjlxaA4OOmnFO-i0vw
10,33.587766,-112.115899,Pappadeaux Seafood Kitchen,PmPOuRvuN3CoNOi1nBj_TQ
10,33.510112,-112.096024,Pho Thanh,yVQiGdxmnrkJDyQXv2maNA
10,33.5097278,-111.9952351,The Grind,r-a-Cn9hxdEnYTtVTB5bMQ
10,33.4772365,-112.0734835,Durant's,cN6aBxe2mQvrQlzk26LyRQ
10,33.4576585,-112.0723168,Matt's Big Breakfast,4X_XAOeMw7AFkYhg3NINJA
10,33.4448019849,-112.072117722,Alice Cooper'stown,oCA2OZcd_Jo_ggVmUx3WVw
9,33.6782214624,-111.939289529,Tea Light Cafe,L_MtTn4IUBTmQtqqM2iFqA
9,33.640408,-111.995167,Paradise Valley Burger Company,pAHUC05ceak48e745i6G4g
9,33.545329,-112.043169,Aunt Chilada's,G9LwkTSdKOyOGqd5BbuIkA
9,33.523984,-112.04698,TEXAZ Grill,18TUn9oiW0k0yB6lheiOvw
9,33.511665,-112.065323,Ticoz Resto-Bar,FUI-hWH_bpis7AKZTWenUQ
9,33.5100242,-112.0152854,noca,DcrM4hwDcU2G6vuh2cnaYQ
9,33.502429,-111.995512,La Grande Orange Pizzeria,7SO_rX1F6rQEl-5s3wZxgQ
9,33.495084,-111.999963,Chicago Hamburger Co,iNvY0zAlaD_ye7Z6rHu-Ug
9,33.494489,-111.995106,The Vig,FqzgT9Y-Yu7jiWdHnGW-kQ
9,33.4874748,-112.0830342,Mi Patio Mexican Restaurant,cVejKU_SrdbvzIbQ4oPV0A
8,33.677854,-111.978579,Tryst Cafe,vvMR0jgDoBA-g1XgZy8sEg
8,33.655906,-111.930086,Blue Agave Mexican Cantina,BFZHdg2TRrgw56CyqkSryA
8,33.597213,-112.03605,Carolina's,oyzxIqrtzu-8sWlPhJVsLw
8,33.5708369,-112.0655987,Los Reyes De La Torta,bzDs0u8I-z231QVdIQWkrA
8,33.5376161926,-112.064525648,Sierra Bonita Grill,DDnmNTvIIQu2t3WZ2EQx-w
8,33.5219028,-112.0639456,Fuego Bistro,hfl62LX14YqNpG0g0Tj6_Q
8,33.5136971882,-112.073411923,Windsor,FURgKkRFtMK5yKbjYZVVwA
8,33.504777,-112.047846,Coup Des Tartes,LzpR_jE6VIutJ08s2cdRrw
8,33.5006213,-112.0743113,Pane Bianco,-AAig9FG0s8gYE4f8GfowQ
8,33.4977417,-112.0739754,George & Dragon Restaurant,3xEB9FyFXolq1b_Qn_BFtg
8,33.4963684082,-112.08391571,The Fry Bread House,mqQwChPNN4o4DhAzaGntIA
8,33.48585,-112.0691813,China Chili,-3WVw1TNQbPBzaKCaQQ1AQ
8,33.4798163,-112.091191,Original Hamburger Works,N_6bV3c3JagKW7sD3X9ldA
8,33.4570541765,-112.071567245,Angels Trumpet Ale House,41j3GB7M-Lwq284Pfb9zgw
8,33.4495394,-112.0656645,Nobuo At Teeter House,nMHhuYan8e3cONo3PornJA
8,33.3711363,-111.9740268,Rustler's Rooste,wZwZcte4lcbu51NOzCjWbQ
8,33.3480616,-111.9820214,Los Taquitos,rDvz5jX65gpfONFu7er9Tw
8,33.347684,-111.976156,Sakana Sushi & Grill,0vzZ_Bcb02rJljeMU9XkBw
8,33.3044612,-111.9945753,Pomegranate Cafe,lVkDZZ8sTafPlq7f1i5row
7,33.6834408,-111.9660359,Roy's Restaurant,corPOxxIBRJ7DSpryYvorw
7,33.62121,-112.00303,Saba's Mediterranean Cuisine,qXQ3ZBdwI3GlbR5-eYWqNA
7,33.595874,-112.134448,Rocket Burger & Subs,F8q_9PUl-Lwjj9xIRPArcg
7,33.5833625,-112.0133307,32 Shea,XU5Fb3TosXDUJcNRWQM5cA
7,33.5754755,-112.0651592,Scramble A Breakfast Joint,XHr5mXFgobOHoxbPJxmYdg
7,33.538927,-112.048079,Los Taquitos,UCEAhciqe8avW1N-bWJ32g
7,33.5386352,-112.0982917,Tacos Atoyac,wN_wAXWg8W94v04eqijy6g
7,33.5378713137,-112.055160999,Spinato's Pizza,YldXB1hRpnE1CWLF3mvgpQ
7,33.5194664,-112.0653473,The Yard,HrSowDDXw71VD_d-4g7I5g
